




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (8259)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (FDR)
cell projection morphogenesis (GO:0048858)	507	284	203.32	+	1.40	7.56E-06	4.41E-04
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	14.44	-	 < 0.01	7.73E-06	4.49E-04
regulation of neurogenesis (GO:0050767)	364	215	145.97	+	1.47	7.84E-06	4.54E-04
response to endogenous stimulus (GO:0009719)	1426	699	571.85	+	1.22	7.97E-06	4.60E-04
cell part morphogenesis (GO:0032990)	526	292	210.94	+	1.38	8.88E-06	5.09E-04
response to biotic stimulus (GO:0009607)	1547	499	620.38	-	.80	8.87E-06	5.10E-04
proteasomal protein catabolic process (GO:0010498)	361	213	144.77	+	1.47	8.96E-06	5.11E-04
negative regulation of protein modification process (GO:0031400)	558	307	223.77	+	1.37	9.06E-06	5.15E-04
cell division (GO:0051301)	498	279	199.71	+	1.40	9.18E-06	5.20E-04
negative regulation of programmed cell death (GO:0043069)	914	470	366.53	+	1.28	9.69E-06	5.45E-04
DNA repair (GO:0006281)	531	294	212.94	+	1.38	9.68E-06	5.46E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	281	201.71	+	1.39	1.00E-05	5.63E-04
regulation of protein kinase activity (GO:0045859)	802	419	321.62	+	1.30	1.05E-05	5.89E-04
positive regulation of cellular catabolic process (GO:0031331)	450	255	180.46	+	1.41	1.11E-05	6.16E-04
catabolic process (GO:0009056)	2096	988	840.54	+	1.18	1.15E-05	6.40E-04
negative regulation of developmental process (GO:0051093)	879	453	352.50	+	1.29	1.18E-05	6.54E-04
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	16.84	-	.06	1.24E-05	6.81E-04
activation of immune response (GO:0002253)	530	143	212.54	-	.67	1.25E-05	6.88E-04
animal organ morphogenesis (GO:0009887)	956	487	383.37	+	1.27	1.44E-05	7.89E-04
circulatory system development (GO:0072359)	877	451	351.69	+	1.28	1.52E-05	8.30E-04
neuron projection morphogenesis (GO:0048812)	499	277	200.11	+	1.38	1.59E-05	8.61E-04
cellular response to endogenous stimulus (GO:0071495)	1152	574	461.97	+	1.24	1.59E-05	8.63E-04
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	42	83.41	-	.50	1.62E-05	8.73E-04
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	46	89.03	-	.52	1.68E-05	9.00E-04
regulation of nervous system development (GO:0051960)	443	250	177.65	+	1.41	1.68E-05	9.02E-04
regulation of autophagy (GO:0010506)	331	196	132.74	+	1.48	1.78E-05	9.53E-04
regulation of cell growth (GO:0001558)	422	240	169.23	+	1.42	1.92E-05	1.02E-03
sensory perception of bitter taste (GO:0050913)	41	1	16.44	-	.06	1.97E-05	1.05E-03
negative regulation of apoptotic process (GO:0043066)	895	457	358.91	+	1.27	2.08E-05	1.10E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	199	135.54	+	1.47	2.11E-05	1.11E-03
cell recognition (GO:0008037)	241	52	96.65	-	.54	2.17E-05	1.14E-03
positive regulation of immune response (GO:0050778)	747	219	299.56	-	.73	2.23E-05	1.17E-03
embryonic morphogenesis (GO:0048598)	570	308	228.58	+	1.35	2.50E-05	1.30E-03
DNA metabolic process (GO:0006259)	777	403	311.59	+	1.29	2.51E-05	1.30E-03
cell morphogenesis involved in differentiation (GO:0000904)	559	303	224.17	+	1.35	2.50E-05	1.30E-03
protein modification by small protein conjugation (GO:0032446)	822	423	329.64	+	1.28	2.63E-05	1.36E-03
regulation of cell development (GO:0060284)	500	275	200.51	+	1.37	2.71E-05	1.40E-03
regulation of signal transduction by p53 class mediator (GO:1901796)	201	130	80.60	+	1.61	2.95E-05	1.51E-03
positive regulation of intracellular transport (GO:0032388)	228	144	91.43	+	1.57	2.98E-05	1.53E-03
cellular response to growth factor stimulus (GO:0071363)	497	273	199.31	+	1.37	3.06E-05	1.56E-03
negative regulation of protein metabolic process (GO:0051248)	1112	552	445.93	+	1.24	3.10E-05	1.58E-03
membrane invagination (GO:0010324)	148	26	59.35	-	.44	3.19E-05	1.61E-03
intracellular protein transport (GO:0006886)	781	403	313.20	+	1.29	3.46E-05	1.74E-03
response to growth factor (GO:0070848)	526	286	210.94	+	1.36	3.46E-05	1.74E-03
regulation of Wnt signaling pathway (GO:0030111)	377	216	151.18	+	1.43	3.45E-05	1.74E-03
negative regulation of intracellular signal transduction (GO:1902532)	507	277	203.32	+	1.36	3.59E-05	1.79E-03
positive regulation of transferase activity (GO:0051347)	693	363	277.91	+	1.31	3.58E-05	1.79E-03
organelle localization (GO:0051640)	609	324	244.22	+	1.33	3.67E-05	1.82E-03
negative regulation of gene expression (GO:0010629)	999	500	400.62	+	1.25	3.94E-05	1.95E-03
apoptotic process (GO:0006915)	913	461	366.13	+	1.26	4.68E-05	2.31E-03
cellular response to chemical stimulus (GO:0070887)	2914	1325	1168.57	+	1.13	4.77E-05	2.35E-03
regulation of protein catabolic process (GO:0042176)	398	224	159.61	+	1.40	5.30E-05	2.60E-03
negative regulation of cellular protein metabolic process (GO:0032269)	1040	517	417.06	+	1.24	5.37E-05	2.63E-03
regulation of binding (GO:0051098)	365	208	146.37	+	1.42	5.78E-05	2.82E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	250	181.66	+	1.38	5.79E-05	2.82E-03
protein-containing complex assembly (GO:0065003)	1358	656	544.58	+	1.20	5.95E-05	2.88E-03
embryonic organ development (GO:0048568)	435	241	174.44	+	1.38	6.06E-05	2.92E-03
nucleic acid-templated transcription (GO:0097659)	531	286	212.94	+	1.34	6.04E-05	2.92E-03
immune response-activating signal transduction (GO:0002757)	455	123	182.46	-	.67	6.15E-05	2.94E-03
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	123	182.46	-	.67	6.15E-05	2.95E-03
regulation of immune response (GO:0050776)	1183	378	474.41	-	.80	6.22E-05	2.97E-03
cellular component morphogenesis (GO:0032989)	611	322	245.02	+	1.31	6.88E-05	3.27E-03
anatomical structure formation involved in morphogenesis (GO:0048646)	883	445	354.10	+	1.26	6.87E-05	3.27E-03
positive regulation of cell differentiation (GO:0045597)	840	426	336.86	+	1.26	6.94E-05	3.28E-03
transcription, DNA-templated (GO:0006351)	530	285	212.54	+	1.34	6.98E-05	3.29E-03
posttranscriptional regulation of gene expression (GO:0010608)	581	308	232.99	+	1.32	7.42E-05	3.48E-03
regulation of establishment of protein localization (GO:0070201)	581	308	232.99	+	1.32	7.42E-05	3.49E-03
microtubule-based process (GO:0007017)	806	410	323.22	+	1.27	7.57E-05	3.53E-03
negative regulation of cell differentiation (GO:0045596)	644	337	258.26	+	1.30	7.55E-05	3.53E-03
regionalization (GO:0003002)	317	184	127.12	+	1.45	7.86E-05	3.65E-03
protein localization to organelle (GO:0033365)	742	381	297.56	+	1.28	8.02E-05	3.72E-03
negative regulation of cell cycle (GO:0045786)	454	249	182.06	+	1.37	8.28E-05	3.83E-03
regulation of protein transport (GO:0051223)	556	296	222.97	+	1.33	8.50E-05	3.92E-03
response to organonitrogen compound (GO:0010243)	1014	502	406.63	+	1.23	9.06E-05	4.17E-03
RNA biosynthetic process (GO:0032774)	543	289	217.75	+	1.33	9.80E-05	4.49E-03
organonitrogen compound catabolic process (GO:1901565)	1091	534	437.51	+	1.22	1.21E-04	5.53E-03
pattern specification process (GO:0007389)	426	234	170.83	+	1.37	1.23E-04	5.59E-03
Wnt signaling pathway (GO:0016055)	350	198	140.36	+	1.41	1.30E-04	5.90E-03
cell-cell signaling by wnt (GO:0198738)	350	198	140.36	+	1.41	1.30E-04	5.92E-03
response to decreased oxygen levels (GO:0036293)	361	203	144.77	+	1.40	1.34E-04	6.06E-03
positive regulation of cellular protein localization (GO:1903829)	306	177	122.71	+	1.44	1.35E-04	6.07E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	532	638.82	-	.83	1.35E-04	6.07E-03
regulation of canonical Wnt signaling pathway (GO:0060828)	298	173	119.50	+	1.45	1.37E-04	6.13E-03
gland development (GO:0048732)	414	228	166.02	+	1.37	1.42E-04	6.33E-03
positive regulation of neurogenesis (GO:0050769)	227	138	91.03	+	1.52	1.45E-04	6.45E-03
positive regulation of intracellular protein transport (GO:0090316)	185	117	74.19	+	1.58	1.50E-04	6.67E-03
regulation of mRNA catabolic process (GO:0061013)	252	150	101.06	+	1.48	1.52E-04	6.73E-03
response to oxygen levels (GO:0070482)	388	215	155.60	+	1.38	1.54E-04	6.77E-03
microtubule cytoskeleton organization (GO:0000226)	567	298	227.38	+	1.31	1.54E-04	6.79E-03
positive regulation of protein catabolic process (GO:0045732)	237	143	95.04	+	1.50	1.55E-04	6.79E-03
morphogenesis of an epithelium (GO:0002009)	441	240	176.85	+	1.36	1.56E-04	6.82E-03
leukocyte migration (GO:0050900)	379	101	151.99	-	.66	1.59E-04	6.96E-03
protein ubiquitination (GO:0016567)	746	379	299.16	+	1.27	1.62E-04	7.06E-03
regulation of cellular component movement (GO:0051270)	1032	506	413.85	+	1.22	1.63E-04	7.07E-03
organophosphate biosynthetic process (GO:0090407)	552	291	221.36	+	1.31	1.72E-04	7.46E-03
positive regulation of cell development (GO:0010720)	300	173	120.31	+	1.44	1.74E-04	7.52E-03
regulation of immune effector process (GO:0002697)	435	120	174.44	-	.69	1.75E-04	7.55E-03
in utero embryonic development (GO:0001701)	366	204	146.77	+	1.39	1.77E-04	7.59E-03
histone acetylation (GO:0016573)	110	78	44.11	+	1.77	1.77E-04	7.60E-03
regulation of developmental growth (GO:0048638)	320	182	128.33	+	1.42	1.83E-04	7.82E-03
negative regulation of mitotic cell cycle (GO:0045930)	294	170	117.90	+	1.44	1.85E-04	7.90E-03
axon development (GO:0061564)	421	230	168.83	+	1.36	1.88E-04	7.96E-03
response to endoplasmic reticulum stress (GO:0034976)	260	153	104.27	+	1.47	1.88E-04	7.98E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	146	98.25	+	1.49	1.92E-04	8.08E-03
positive regulation of phosphorylation (GO:0042327)	921	456	369.34	+	1.23	1.92E-04	8.09E-03
regulation of RNA stability (GO:0043487)	253	150	101.46	+	1.48	1.92E-04	8.10E-03
regulation of cytoskeleton organization (GO:0051493)	526	278	210.94	+	1.32	1.96E-04	8.23E-03
telencephalon development (GO:0021537)	254	150	101.86	+	1.47	1.98E-04	8.27E-03
chromatin remodeling (GO:0006338)	173	110	69.38	+	1.59	2.03E-04	8.46E-03
negative regulation of phosphorylation (GO:0042326)	395	217	158.40	+	1.37	2.06E-04	8.55E-03
regulation of vesicle-mediated transport (GO:0060627)	530	280	212.54	+	1.32	2.06E-04	8.56E-03
forebrain development (GO:0030900)	387	213	155.19	+	1.37	2.15E-04	8.89E-03
vesicle-mediated transport (GO:0016192)	1969	910	789.61	+	1.15	2.20E-04	9.04E-03
negative regulation of cell cycle process (GO:0010948)	368	204	147.58	+	1.38	2.19E-04	9.06E-03
regulation of DNA metabolic process (GO:0051052)	372	206	149.18	+	1.38	2.34E-04	9.60E-03
urogenital system development (GO:0001655)	324	183	129.93	+	1.41	2.38E-04	9.72E-03
negative regulation of protein phosphorylation (GO:0001933)	353	197	141.56	+	1.39	2.38E-04	9.74E-03
regulation of intracellular transport (GO:0032386)	364	202	145.97	+	1.38	2.42E-04	9.88E-03
regulation of neuron death (GO:1901214)	316	179	126.72	+	1.41	2.45E-04	9.91E-03
axonogenesis (GO:0007409)	385	212	154.39	+	1.37	2.45E-04	9.93E-03
negative regulation of phosphorus metabolic process (GO:0010563)	484	258	194.09	+	1.33	2.45E-04	9.95E-03
epithelial tube morphogenesis (GO:0060562)	309	176	123.92	+	1.42	2.55E-04	1.02E-02
process utilizing autophagic mechanism (GO:0061919)	309	176	123.92	+	1.42	2.55E-04	1.02E-02
autophagy (GO:0006914)	309	176	123.92	+	1.42	2.55E-04	1.03E-02
response to hypoxia (GO:0001666)	347	194	139.15	+	1.39	2.55E-04	1.03E-02
positive regulation of kinase activity (GO:0033674)	614	317	246.23	+	1.29	2.59E-04	1.03E-02
organic substance catabolic process (GO:1901575)	1769	823	709.40	+	1.16	2.67E-04	1.06E-02
immune response-regulating signaling pathway (GO:0002764)	495	142	198.50	-	.72	2.75E-04	1.09E-02
negative regulation of phosphate metabolic process (GO:0045936)	483	257	193.69	+	1.33	2.82E-04	1.12E-02
negative regulation of organelle organization (GO:0010639)	334	187	133.94	+	1.40	2.88E-04	1.14E-02
small GTPase mediated signal transduction (GO:0007264)	262	153	105.07	+	1.46	2.94E-04	1.16E-02
regulation of mRNA metabolic process (GO:1903311)	376	207	150.78	+	1.37	2.97E-04	1.17E-02
organonitrogen compound biosynthetic process (GO:1901566)	1379	654	553.01	+	1.18	3.00E-04	1.18E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	227	168.43	+	1.35	3.04E-04	1.19E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	141	197.30	-	.71	3.09E-04	1.20E-02
cell junction organization (GO:0034330)	502	265	201.31	+	1.32	3.08E-04	1.20E-02
positive regulation of protein kinase activity (GO:0045860)	539	282	216.15	+	1.30	3.08E-04	1.20E-02
regulation of cellular amide metabolic process (GO:0034248)	479	254	192.09	+	1.32	3.14E-04	1.22E-02
regulation of inflammatory response (GO:0050727)	518	150	207.73	-	.72	3.18E-04	1.22E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	142	96.24	+	1.48	3.17E-04	1.23E-02
regulation of mRNA stability (GO:0043488)	241	142	96.65	+	1.47	3.26E-04	1.25E-02
positive regulation of protein transport (GO:0051222)	331	185	132.74	+	1.39	3.27E-04	1.25E-02
regulation of neuron apoptotic process (GO:0043523)	210	127	84.21	+	1.51	3.33E-04	1.27E-02
tissue morphogenesis (GO:0048729)	545	284	218.56	+	1.30	3.31E-04	1.27E-02
killing of cells of other organism (GO:0031640)	87	13	34.89	-	.37	3.33E-04	1.27E-02
positive regulation of protein phosphorylation (GO:0001934)	838	416	336.05	+	1.24	3.43E-04	1.30E-02
positive regulation of phosphate metabolic process (GO:0045937)	998	486	400.22	+	1.21	3.58E-04	1.35E-02
positive regulation of phosphorus metabolic process (GO:0010562)	998	486	400.22	+	1.21	3.58E-04	1.36E-02
regulation of protein ubiquitination (GO:0031396)	213	128	85.42	+	1.50	3.63E-04	1.37E-02
regulation of locomotion (GO:0040012)	997	485	399.82	+	1.21	3.97E-04	1.49E-02
sensory perception of taste (GO:0050909)	69	9	27.67	-	.33	3.98E-04	1.49E-02
carbohydrate derivative biosynthetic process (GO:1901137)	604	310	242.22	+	1.28	4.06E-04	1.52E-02
positive regulation of intracellular signal transduction (GO:1902533)	1040	504	417.06	+	1.21	4.11E-04	1.54E-02
vasculature development (GO:0001944)	514	269	206.12	+	1.31	4.13E-04	1.54E-02
positive regulation of immune system process (GO:0002684)	1069	347	428.69	-	.81	4.16E-04	1.55E-02
negative regulation of neuron apoptotic process (GO:0043524)	146	94	58.55	+	1.61	4.22E-04	1.56E-02
regulation of cell motility (GO:2000145)	954	466	382.57	+	1.22	4.23E-04	1.56E-02
response to nitrogen compound (GO:1901698)	1101	530	441.52	+	1.20	4.22E-04	1.56E-02
protein autophosphorylation (GO:0046777)	188	115	75.39	+	1.53	4.27E-04	1.57E-02
regulation of protein binding (GO:0043393)	196	119	78.60	+	1.51	4.32E-04	1.59E-02
regulation of small GTPase mediated signal transduction (GO:0051056)	348	192	139.55	+	1.38	4.40E-04	1.61E-02
transcription by RNA polymerase II (GO:0006366)	382	208	153.19	+	1.36	4.59E-04	1.68E-02
negative regulation of cellular amide metabolic process (GO:0034249)	206	124	82.61	+	1.50	4.60E-04	1.68E-02
negative regulation of inflammatory response (GO:0050728)	320	85	128.33	-	.66	4.77E-04	1.74E-02
protein acylation (GO:0043543)	178	110	71.38	+	1.54	4.91E-04	1.78E-02
response to insulin (GO:0032868)	241	141	96.65	+	1.46	4.90E-04	1.78E-02
peptidyl-lysine acetylation (GO:0018394)	119	80	47.72	+	1.68	4.98E-04	1.80E-02
negative regulation of neuron death (GO:1901215)	209	125	83.81	+	1.49	5.00E-04	1.81E-02
positive regulation of establishment of protein localization (GO:1904951)	347	191	139.15	+	1.37	5.14E-04	1.85E-02
pallium development (GO:0021543)	173	107	69.38	+	1.54	5.28E-04	1.90E-02
positive regulation of organelle organization (GO:0010638)	605	309	242.62	+	1.27	5.37E-04	1.92E-02
gene expression (GO:0010467)	2117	965	848.96	+	1.14	5.43E-04	1.94E-02
regulation of cell morphogenesis (GO:0022604)	310	173	124.32	+	1.39	5.46E-04	1.95E-02
immune system process (GO:0002376)	2903	1037	1164.16	-	.89	5.56E-04	1.98E-02
regulation of dendrite development (GO:0050773)	104	72	41.71	+	1.73	5.57E-04	1.98E-02
positive regulation of nervous system development (GO:0051962)	274	156	109.88	+	1.42	5.65E-04	2.00E-02
regulation of cellular protein catabolic process (GO:1903362)	256	147	102.66	+	1.43	5.70E-04	2.01E-02
internal peptidyl-lysine acetylation (GO:0018393)	116	78	46.52	+	1.68	5.70E-04	2.01E-02
blood vessel development (GO:0001568)	492	257	197.30	+	1.30	5.77E-04	2.03E-02
negative regulation of immune response (GO:0050777)	373	103	149.58	-	.69	5.97E-04	2.10E-02
regulation of cell migration (GO:0030334)	892	436	357.71	+	1.22	6.24E-04	2.19E-02
internal protein amino acid acetylation (GO:0006475)	118	79	47.32	+	1.67	6.26E-04	2.19E-02
regulation of anatomical structure size (GO:0090066)	514	267	206.12	+	1.30	6.37E-04	2.22E-02
protein acetylation (GO:0006473)	138	89	55.34	+	1.61	6.57E-04	2.29E-02
lipid biosynthetic process (GO:0008610)	630	319	252.64	+	1.26	6.76E-04	2.35E-02
blood vessel morphogenesis (GO:0048514)	410	219	164.42	+	1.33	6.87E-04	2.38E-02
heart development (GO:0007507)	535	276	214.55	+	1.29	6.93E-04	2.40E-02
regulation of cellular component size (GO:0032535)	389	209	156.00	+	1.34	7.05E-04	2.43E-02
response to oxygen-containing compound (GO:1901700)	1604	744	643.24	+	1.16	7.15E-04	2.46E-02
positive regulation of cell death (GO:0010942)	638	322	255.85	+	1.26	7.26E-04	2.50E-02
skin development (GO:0043588)	385	108	154.39	-	.70	7.45E-04	2.55E-02
positive regulation of cellular component biogenesis (GO:0044089)	534	275	214.14	+	1.28	7.87E-04	2.69E-02
negative regulation of Wnt signaling pathway (GO:0030178)	219	128	87.82	+	1.46	8.02E-04	2.74E-02
proteolysis (GO:0006508)	1306	614	523.73	+	1.17	9.00E-04	3.07E-02
negative regulation of translation (GO:0017148)	184	111	73.79	+	1.50	9.22E-04	3.13E-02
positive regulation of neuron projection development (GO:0010976)	161	99	64.56	+	1.53	9.21E-04	3.13E-02
renal system development (GO:0072001)	291	162	116.70	+	1.39	9.43E-04	3.19E-02
hepaticobiliary system development (GO:0061008)	141	89	56.54	+	1.57	9.50E-04	3.21E-02
negative regulation of cell cycle phase transition (GO:1901988)	294	163	117.90	+	1.38	9.98E-04	3.36E-02
response to radiation (GO:0009314)	452	236	181.26	+	1.30	1.01E-03	3.38E-02
regulation of intracellular protein transport (GO:0033157)	256	145	102.66	+	1.41	1.01E-03	3.38E-02
homeostatic process (GO:0042592)	1680	773	673.71	+	1.15	1.08E-03	3.59E-02
cerebral cortex development (GO:0021987)	118	77	47.32	+	1.63	1.07E-03	3.60E-02
rhythmic process (GO:0048511)	269	151	107.87	+	1.40	1.08E-03	3.60E-02
liver development (GO:0001889)	138	87	55.34	+	1.57	1.09E-03	3.64E-02
cornification (GO:0070268)	113	22	45.32	-	.49	1.10E-03	3.66E-02
epidermis development (GO:0008544)	422	122	169.23	-	.72	1.11E-03	3.68E-02
positive regulation of programmed cell death (GO:0043068)	575	291	230.59	+	1.26	1.17E-03	3.86E-02
antibacterial humoral response (GO:0019731)	57	7	22.86	-	.31	1.22E-03	4.04E-02
ephrin receptor signaling pathway (GO:0048013)	86	60	34.49	+	1.74	1.24E-03	4.09E-02
actin filament-based process (GO:0030029)	605	304	242.62	+	1.25	1.33E-03	4.37E-02
regulation of dendrite morphogenesis (GO:0048814)	67	50	26.87	+	1.86	1.36E-03	4.45E-02
negative regulation of multicellular organismal process (GO:0051241)	1014	484	406.63	+	1.19	1.37E-03	4.48E-02
regulation of muscle cell differentiation (GO:0051147)	145	90	58.15	+	1.55	1.38E-03	4.51E-02
endosomal transport (GO:0016197)	235	134	94.24	+	1.42	1.40E-03	4.55E-02
protein polyubiquitination (GO:0000209)	325	176	130.33	+	1.35	1.40E-03	4.56E-02
negative regulation of defense response (GO:0031348)	402	116	161.21	-	.72	1.41E-03	4.57E-02
organelle assembly (GO:0070925)	796	388	319.21	+	1.22	1.44E-03	4.67E-02
regulation of protein stability (GO:0031647)	306	167	122.71	+	1.36	1.45E-03	4.70E-02
positive regulation of apoptotic process (GO:0043065)	560	283	224.57	+	1.26	1.51E-03	4.86E-02
regulation of cellular response to growth factor stimulus (GO:0090287)	299	164	119.90	+	1.37	1.54E-03	4.94E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	95	62.56	+	1.52	1.56E-03	5.00E-02
